id,organizationId,operatingUnitId,projectId,dqaCode,visitDate,verifierUserIds,locationIds,dataSource,samplingMethod,recordsCheckedCount,accurateCount,discrepanciesCount,missingFieldsCount,duplicatesCount,summary,status,createdBy,updatedBy,createdAt,updatedAt,deletedAt,isDeleted,deletedBy
1,30001,30001,1,DQA-0001,2026-02-06 00:00:00,,,mixed,,100,90,10,5,2,,draft,1,,2026-02-06 22:29:28,2026-02-06 22:29:28,,0,
2,30001,30001,1,DQA-0002,2026-02-06 00:00:00,,,survey,,50,40,10,0,0,,draft,1,,2026-02-06 22:29:28,2026-02-06 22:29:28,2026-02-06 22:29:29,1,1
3,30001,30001,1,DQA-0003,2026-02-06 00:00:00,,,mixed,,100,90,10,5,2,,draft,1,,2026-02-06 22:29:47,2026-02-06 22:29:47,,0,
4,30001,30001,1,DQA-0004,2026-02-06 00:00:00,,,survey,,50,40,10,0,0,,draft,1,,2026-02-06 22:29:47,2026-02-06 22:29:47,2026-02-06 22:29:48,1,1
5,30001,30001,1,DQA-0005,2026-02-06 00:00:00,,,mixed,,100,90,10,5,2,,draft,1,,2026-02-06 22:30:06,2026-02-06 22:30:06,,0,
6,30001,30001,1,DQA-0006,2026-02-06 00:00:00,,,survey,,50,40,10,0,0,,draft,1,,2026-02-06 22:30:06,2026-02-06 22:30:06,2026-02-06 22:30:07,1,1
7,30001,30001,1,DQA-0007,2026-02-06 00:00:00,,,mixed,,100,90,10,5,2,,draft,1,,2026-02-06 22:30:25,2026-02-06 22:30:25,,0,
8,30001,30001,1,DQA-0008,2026-02-06 00:00:00,,,survey,,50,40,10,0,0,,draft,1,,2026-02-06 22:30:25,2026-02-06 22:30:25,2026-02-06 22:30:26,1,1
9,30001,30001,1,DQA-0009,2026-02-06 00:00:00,,,mixed,,100,90,10,5,2,,draft,1,,2026-02-06 22:31:25,2026-02-06 22:31:25,,0,
10,30001,30001,1,DQA-0010,2026-02-06 00:00:00,,,survey,,50,40,10,0,0,,draft,1,,2026-02-06 22:31:25,2026-02-06 22:31:25,2026-02-06 22:31:25,1,1
11,30001,30001,1,DQA-0011,2026-02-07 00:00:00,,,mixed,,100,90,10,5,2,,draft,1,,2026-02-07 00:00:09,2026-02-07 00:00:09,,0,
12,30001,30001,1,DQA-0012,2026-02-07 00:00:00,,,survey,,50,40,10,0,0,,draft,1,,2026-02-07 00:00:09,2026-02-07 00:00:09,2026-02-07 00:00:10,1,1
13,30001,30001,1,DQA-0013,2026-02-07 00:00:00,,,mixed,,100,90,10,5,2,,draft,1,,2026-02-07 00:00:30,2026-02-07 00:00:30,,0,
14,30001,30001,1,DQA-0014,2026-02-07 00:00:00,,,survey,,50,40,10,0,0,,draft,1,,2026-02-07 00:00:30,2026-02-07 00:00:30,2026-02-07 00:00:31,1,1
15,30001,30001,1,DQA-0015,2026-02-07 00:00:00,,,mixed,,100,90,10,5,2,,draft,1,,2026-02-07 02:51:47,2026-02-07 02:51:47,,0,
16,30001,30001,1,DQA-0016,2026-02-07 00:00:00,,,survey,,50,40,10,0,0,,draft,1,,2026-02-07 02:51:47,2026-02-07 02:51:47,2026-02-07 02:51:47,1,1
17,30001,30001,1,DQA-0017,2026-02-07 00:00:00,,,mixed,,100,90,10,5,2,,draft,1,,2026-02-07 02:52:07,2026-02-07 02:52:07,,0,
18,30001,30001,1,DQA-0018,2026-02-07 00:00:00,,,survey,,50,40,10,0,0,,draft,1,,2026-02-07 02:52:07,2026-02-07 02:52:07,2026-02-07 02:52:08,1,1
19,30001,30001,1,DQA-0019,2026-02-07 00:00:00,,,mixed,,100,90,10,5,2,,draft,1,,2026-02-07 02:52:27,2026-02-07 02:52:27,,0,
20,30001,30001,1,DQA-0020,2026-02-07 00:00:00,,,survey,,50,40,10,0,0,,draft,1,,2026-02-07 02:52:27,2026-02-07 02:52:27,2026-02-07 02:52:27,1,1
21,30001,30001,1,DQA-0021,2026-02-07 00:00:00,,,mixed,,100,90,10,5,2,,draft,1,,2026-02-07 02:52:55,2026-02-07 02:52:55,,0,
22,30001,30001,1,DQA-0022,2026-02-07 00:00:00,,,survey,,50,40,10,0,0,,draft,1,,2026-02-07 02:52:55,2026-02-07 02:52:56,2026-02-07 02:52:56,1,1
30001,30001,30001,1,DQA-0023,2026-02-07 00:00:00,,,mixed,,100,90,10,5,2,,draft,1,,2026-02-07 12:19:14,2026-02-07 12:19:14,,0,
30002,30001,30001,1,DQA-0024,2026-02-07 00:00:00,,,survey,,50,40,10,0,0,,draft,1,,2026-02-07 12:19:14,2026-02-07 12:19:14,2026-02-07 12:19:14,1,1
30003,30001,30001,1,DQA-0025,2026-02-07 00:00:00,,,mixed,,100,90,10,5,2,,draft,1,,2026-02-07 14:05:10,2026-02-07 14:05:10,,0,
